name,role,prefix,extension,bytes,path
dsp_sps.dll,dsp,dsp,.dll,98600,"F:\WinampPortable\App\Winamp\Plugins\dsp_sps.dll"
enc_flac.dll,encoding,enc,.dll,191784,"F:\WinampPortable\App\Winamp\Plugins\enc_flac.dll"
enc_lame.dll,encoding,enc,.dll,249640,"F:\WinampPortable\App\Winamp\Plugins\enc_lame.dll"
enc_vorbis.dll,encoding,enc,.dll,678696,"F:\WinampPortable\App\Winamp\Plugins\enc_vorbis.dll"
enc_wav.dll,encoding,enc,.dll,32040,"F:\WinampPortable\App\Winamp\Plugins\enc_wav.dll"
enc_wma.dll,encoding,enc,.dll,38184,"F:\WinampPortable\App\Winamp\Plugins\enc_wma.dll"
gen_crasher.dll,general,gen,.dll,58664,"F:\WinampPortable\App\Winamp\Plugins\gen_crasher.dll"
gen_ff.dll,general,gen,.dll,1871656,"F:\WinampPortable\App\Winamp\Plugins\gen_ff.dll"
gen_hotkeys.dll,general,gen,.dll,50984,"F:\WinampPortable\App\Winamp\Plugins\gen_hotkeys.dll"
gen_ml.dll,general,gen,.dll,506664,"F:\WinampPortable\App\Winamp\Plugins\gen_ml.dll"
gen_tray.dll,general,gen,.dll,43816,"F:\WinampPortable\App\Winamp\Plugins\gen_tray.dll"
in_avi.dll,input,in,.dll,90408,"F:\WinampPortable\App\Winamp\Plugins\in_avi.dll"
in_cdda.dll,input,in,.dll,83752,"F:\WinampPortable\App\Winamp\Plugins\in_cdda.dll"
in_dshow.dll,input,in,.dll,113448,"F:\WinampPortable\App\Winamp\Plugins\in_dshow.dll"
in_flac.dll,input,in,.dll,145192,"F:\WinampPortable\App\Winamp\Plugins\in_flac.dll"
in_flv.dll,input,in,.dll,63784,"F:\WinampPortable\App\Winamp\Plugins\in_flv.dll"
in_linein.dll,input,in,.dll,27432,"F:\WinampPortable\App\Winamp\Plugins\in_linein.dll"
in_midi.dll,input,in,.dll,190248,"F:\WinampPortable\App\Winamp\Plugins\in_midi.dll"
in_mkv.dll,input,in,.dll,59688,"F:\WinampPortable\App\Winamp\Plugins\in_mkv.dll"
in_mod.dll,input,in,.dll,1667880,"F:\WinampPortable\App\Winamp\Plugins\in_mod.dll"
in_mp3.dll,input,in,.dll,204584,"F:\WinampPortable\App\Winamp\Plugins\in_mp3.dll"
in_mp4.dll,input,in,.dll,71464,"F:\WinampPortable\App\Winamp\Plugins\in_mp4.dll"
in_nsv.dll,input,in,.dll,91944,"F:\WinampPortable\App\Winamp\Plugins\in_nsv.dll"
in_swf.dll,input,in,.dll,40232,"F:\WinampPortable\App\Winamp\Plugins\in_swf.dll"
in_vorbis.dll,input,in,.dll,288040,"F:\WinampPortable\App\Winamp\Plugins\in_vorbis.dll"
in_wave.dll,input,in,.dll,2027816,"F:\WinampPortable\App\Winamp\Plugins\in_wave.dll"
in_wm.dll,input,in,.dll,120616,"F:\WinampPortable\App\Winamp\Plugins\in_wm.dll"
ml_bookmarks.dll,media-library,ml,.dll,51496,"F:\WinampPortable\App\Winamp\Plugins\ml_bookmarks.dll"
ml_devices.dll,media-library,ml,.dll,264488,"F:\WinampPortable\App\Winamp\Plugins\ml_devices.dll"
ml_disc.dll,media-library,ml,.dll,192296,"F:\WinampPortable\App\Winamp\Plugins\ml_disc.dll"
ml_downloads.dll,media-library,ml,.dll,78120,"F:\WinampPortable\App\Winamp\Plugins\ml_downloads.dll"
ml_fanzone.dll,media-library,ml,.dll,80168,"F:\WinampPortable\App\Winamp\Plugins\ml_fanzone.dll"
ml_history.dll,media-library,ml,.dll,80680,"F:\WinampPortable\App\Winamp\Plugins\ml_history.dll"
ml_hotmixradio.dll,media-library,ml,.dll,31528,"F:\WinampPortable\App\Winamp\Plugins\ml_hotmixradio.dll"
ml_impex.dll,media-library,ml,.dll,80168,"F:\WinampPortable\App\Winamp\Plugins\ml_impex.dll"
ml_local.dll,media-library,ml,.dll,527656,"F:\WinampPortable\App\Winamp\Plugins\ml_local.dll"
ml_nft.dll,media-library,ml,.dll,31016,"F:\WinampPortable\App\Winamp\Plugins\ml_nft.dll"
ml_online.dll,media-library,ml,.dll,169768,"F:\WinampPortable\App\Winamp\Plugins\ml_online.dll"
ml_playlists.dll,media-library,ml,.dll,301864,"F:\WinampPortable\App\Winamp\Plugins\ml_playlists.dll"
ml_pmp.dll,media-library,ml,.dll,330024,"F:\WinampPortable\App\Winamp\Plugins\ml_pmp.dll"
ml_rg.dll,media-library,ml,.dll,48936,"F:\WinampPortable\App\Winamp\Plugins\ml_rg.dll"
ml_transcode.dll,media-library,ml,.dll,52520,"F:\WinampPortable\App\Winamp\Plugins\ml_transcode.dll"
ml_wire.dll,media-library,ml,.dll,153384,"F:\WinampPortable\App\Winamp\Plugins\ml_wire.dll"
nsvdec_vp5.dll,video-decoder,nsvdec,.dll,164136,"F:\WinampPortable\App\Winamp\Plugins\nsvdec_vp5.dll"
out_disk.dll,output,out,.dll,40744,"F:\WinampPortable\App\Winamp\Plugins\out_disk.dll"
out_ds.dll,output,out,.dll,76072,"F:\WinampPortable\App\Winamp\Plugins\out_ds.dll"
out_wasapi.dll,output,out,.dll,25896,"F:\WinampPortable\App\Winamp\Plugins\out_wasapi.dll"
out_wave.dll,output,out,.dll,40232,"F:\WinampPortable\App\Winamp\Plugins\out_wave.dll"
pmp_activesync.dll,portable-media,pmp,.dll,160552,"F:\WinampPortable\App\Winamp\Plugins\pmp_activesync.dll"
pmp_android.dll,portable-media,pmp,.dll,75560,"F:\WinampPortable\App\Winamp\Plugins\pmp_android.dll"
pmp_ipod.dll,portable-media,pmp,.dll,178984,"F:\WinampPortable\App\Winamp\Plugins\pmp_ipod.dll"
pmp_njb.dll,portable-media,pmp,.dll,37672,"F:\WinampPortable\App\Winamp\Plugins\pmp_njb.dll"
pmp_p4s.dll,portable-media,pmp,.dll,254248,"F:\WinampPortable\App\Winamp\Plugins\pmp_p4s.dll"
pmp_usb.dll,portable-media,pmp,.dll,73000,"F:\WinampPortable\App\Winamp\Plugins\pmp_usb.dll"
pmp_wifi.dll,portable-media,pmp,.dll,98088,"F:\WinampPortable\App\Winamp\Plugins\pmp_wifi.dll"
vis_avs.dat,visualization,vis,.dat,1029,"F:\WinampPortable\App\Winamp\Plugins\vis_avs.dat"
vis_avs.dll,visualization,vis,.dll,414504,"F:\WinampPortable\App\Winamp\Plugins\vis_avs.dll"
vis_milk2.dll,visualization,vis,.dll,483112,"F:\WinampPortable\App\Winamp\Plugins\vis_milk2.dll"
winampFLV.swf,support,,.swf,36782,"F:\WinampPortable\App\Winamp\Plugins\winampFLV.swf"